,Date of 8-day Window,"Centroid of Selection (Lat,Lon)",Number of Pixels,Average AOD,5% Percentile AOD,50% Percentile (Median) AOD,95% Percentile AOD,Percent of Pixels with no Data
0,2014-01-09,"26.63, 86.73",100,0.4946786,0.20078740268945694,0.4921259880065918,0.8582677245140076,9.0
0,2014-01-17,"26.63, 86.73",100,0.29950267,0.07283464595675469,0.28346458077430725,0.5177165269851683,5.0
0,2014-01-17,"26.63, 86.73",100,0.29950267,0.07283464595675469,0.28346458077430725,0.5177165269851683,5.0
0,2014-01-25,"26.63, 86.73",100,0.5074138,0.18425197005271912,0.4330708682537079,1.0,23.0
0,2014-02-02,"26.63, 86.73",100,0.5886647,0.1131889745593071,0.687007874250412,1.0,4.0
0,2014-02-10,"26.63, 86.73",100,0.3655329,0.1330708622932434,0.3818897604942322,0.5354330539703369,3.0
0,2014-02-18,"26.63, 86.73",100,0.43692914,0.05846456848084927,0.45472440123558044,0.7996062755584716,0.0
0,2014-02-26,"26.63, 86.73",100,0.42098832,0.12165354490280152,0.5,0.593307101726532,13.0
0,2014-03-06,"26.63, 86.73",100,0.36146656,0.1407480351626873,0.38385826349258423,0.5482283234596252,4.0
0,2014-03-14,"26.63, 86.73",100,0.55874014,0.3698818922042847,0.5531495809555054,0.7561023592948913,0.0
0,2014-03-14,"26.63, 86.73",100,0.55874014,0.3698818922042847,0.5531495809555054,0.7561023592948913,0.0
0,2014-03-22,"26.63, 86.73",100,0.42800903,0.0696850422769785,0.5059055089950562,0.8246063232421874,2.0
0,2014-03-30,"26.63, 86.73",100,0.4401181,0.26653542518615725,0.4251968562602997,0.6781495839357375,0.0
0,2014-04-07,"26.63, 86.73",100,0.4598818,0.2753936886787415,0.48228347301483154,0.6496062874794006,0.0
0,2014-04-15,"26.63, 86.73",100,0.39570868,0.27165353298187256,0.3681102395057678,0.5753937244415283,0.0
0,2014-04-23,"26.63, 86.73",100,0.4773622,0.36614173650741577,0.45866140723228455,0.6230314970016478,0.0
0,2014-05-01,"26.63, 86.73",100,0.8756406,0.6905512094497681,0.8818897604942322,1.0,37.0
0,2014-05-09,"26.63, 86.73",100,0.3413386,0.18877952694892883,0.3405511677265167,0.4842519760131836,0.0
0,2014-05-09,"26.63, 86.73",100,0.3413386,0.18877952694892883,0.3405511677265167,0.4842519760131836,0.0
0,2014-05-17,"26.63, 86.73",100,0.59553266,0.32893700003623966,0.539370059967041,0.9338582485914227,2.0
0,2014-05-25,"26.63, 86.73",100,0.44094485,0.07322834543883801,0.5354330539703369,0.7200787544250488,45.0
0,2014-06-02,"26.63, 86.73",100,0.9135827,0.12854330502450467,1.0,1.0,40.0
0,2014-06-10,"26.63, 86.73",100,0.9114173,0.4159448936581611,1.0,1.0,18.0
0,2014-06-18,"26.63, 86.73",100,0.96631676,0.90866140127182,0.960629940032959,1.0,91.0
0,2014-06-26,"26.63, 86.73",100,0.97900265,0.8832677125930786,1.0,1.0,82.0
0,2014-07-04,"26.63, 86.73",100,,,,,100.0
0,2014-07-04,"26.63, 86.73",100,,,,,100.0
0,2014-07-12,"26.63, 86.73",100,,,,,100.0
0,2014-07-20,"26.63, 86.73",100,,,,,100.0
0,2014-07-28,"26.63, 86.73",100,0.2540226,0.10629921108484269,0.27165353298187256,0.3173228323459625,77.0
0,2014-08-05,"26.63, 86.73",100,,,,,100.0
0,2014-08-13,"26.63, 86.73",100,,,,,100.0
0,2014-08-21,"26.63, 86.73",100,0.2984252,0.2732283413410187,0.29527559876441956,0.3204724371433258,95.0
0,2014-08-29,"26.63, 86.73",100,0.21936199,0.16259842067956926,0.23228345811367035,0.2562992095947266,61.0
0,2014-08-29,"26.63, 86.73",100,0.21936199,0.16259842067956926,0.23228345811367035,0.2562992095947266,61.0
0,2014-09-06,"26.63, 86.73",100,0.3405512,0.23228345811367035,0.2421259805560112,0.5866141647100447,96.0
0,2014-09-14,"26.63, 86.73",100,0.257874,0.17913385406136512,0.27952754497528076,0.30629921108484265,96.0
0,2014-09-22,"26.63, 86.73",100,1.0,1.0,1.0,1.0,86.0
0,2014-09-30,"26.63, 86.73",100,0.32472438,0.09842519462108612,0.31102362275123596,0.634645664691925,0.0
